Ad_Group1,Dealer Name(match),Count,Est_IHD,Total_Calls,Retailer_Cost
BULK,213887,5000,2017-01-02,26.0,2245.5
GENERIC,213524,4921,2017-01-02,23.0,1943.8
GENERIC,0,5000,2017-01-02,31.0,1975.0
BULK,69144,2500,2017-01-02,7.0,897.5
BULK,76202,5000,2017-01-02,45.0,2245.5
BULK,69147,3000,2017-01-02,13.0,1269.9
BULK,71258,3000,2017-01-02,77.0,1396.8
GENERIC,69213,3000,2017-01-02,52.0,1077.0
GENERIC,213309,6000,2017-01-02,35.0,2370.0
GENERIC,72738,3000,2017-01-02,43.0,1269.9
GENERIC,0,3000,2017-01-02,7.0,1185.0
BULK,71627,5000,2017-01-09,24.0,2041.5
GENERIC,213569,5000,2017-01-09,16.0,1975.0
GENERIC,213524,4921,2017-01-09,48.0,1943.8
GENERIC,0,5000,2017-01-09,28.0,1975.0
RADIUS,69908,375,2017-01-09,2.0,183.75
RADIUS,26337,300,2017-01-09,,225.0
RADIUS,7.01454e+09,2175,2017-01-09,4.0,1631.25
RADIUS,0,375,2017-01-09,6.0,183.75
RADIUS,53005,375,2017-01-09,1.0,240.0
RADIUS,16880,375,2017-01-09,3.0,183.75
RADIUS,16012,75,2017-01-09,1.0,56.25
RADIUS,213430,875,2017-01-09,,560.0
RADIUS,213632,750,2017-01-09,1.0,480.0
BULK,77248,3000,2017-01-09,17.0,1396.8
BULK,69144,2500,2017-01-09,5.0,897.5
BULK,69147,3000,2017-01-09,19.0,1269.9
BULK,65845,3000,2017-01-09,15.0,1396.8
GENERIC,25917,3000,2017-01-09,6.0,1185.0
RADIUS,73093,125,2017-01-09,,124.42
RADIUS,7.00004e+09,375,2017-01-09,1.0,218.18
RADIUS,73311,250,2017-01-09,1.0,160.0
RADIUS,218031,125,2017-01-09,,72.73
RADIUS,72991,1125,2017-01-09,1.0,501.19
GENERIC,213569,7500,2017-01-16,40.0,2962.5
GENERIC,213309,5000,2017-01-16,22.0,1975.0
RADIUS,26337,150,2017-01-16,1.0,112.5
RADIUS,7.01454e+09,1425,2017-01-16,5.0,1068.75
RADIUS,31924,125,2017-01-16,,80.0
RADIUS,53005,750,2017-01-16,6.0,480.0
RADIUS,16880,250,2017-01-16,6.0,160.0
RADIUS,213430,125,2017-01-16,1.0,80.0
RADIUS,7.01331e+09,125,2017-01-16,,80.0
RADIUS,30718,375,2017-01-16,3.0,183.75
RADIUS,64925,125,2017-01-16,8.0,80.0
RADIUS,213632,125,2017-01-16,1.0,80.0
RADIUS,69073,4000,2017-01-16,33.0,1782.0
BULK,84325,3000,2017-01-16,14.0,1396.8
BULK,77711,3000,2017-01-16,10.0,1269.9
GENERIC,69144,2500,2017-01-16,10.0,897.5
GENERIC,73292,3000,2017-01-16,46.0,1077.0
GENERIC,25917,3000,2017-01-16,21.0,1185.0
RADIUS,7.00004e+09,125,2017-01-16,1.0,72.73
RADIUS,86368,125,2017-01-16,3.0,72.73
RADIUS,218031,250,2017-01-16,2.0,145.45
RADIUS,71258,3000,2017-01-16,18.0,1396.8
BULK,213887,5000,2017-01-23,31.0,2245.5
GENERIC,69064,5000,2017-01-23,48.0,1795.0
GENERIC,213569,5000,2017-01-23,33.0,1975.0
GENERIC,213524,10861,2017-01-23,77.0,4290.1
GENERIC,0,5000,2017-01-23,33.0,1975.0
RADIUS,214640,250,2017-01-23,2.0,160.0
RADIUS,26337,75,2017-01-23,,56.25
RADIUS,7.01454e+09,1500,2017-01-23,21.0,1125.0
RADIUS,7.0002e+09,250,2017-01-23,,160.0
RADIUS,31924,125,2017-01-23,1.0,80.0
RADIUS,53005,375,2017-01-23,,240.0
RADIUS,16880,250,2017-01-23,5.0,160.0
RADIUS,16012,75,2017-01-23,1.0,56.25
RADIUS,213632,125,2017-01-23,3.0,80.0
RADIUS,69073,3000,2017-01-23,86.0,1336.5
BULK,75894,3000,2017-01-23,17.0,1269.9
GENERIC,69141,3000,2017-01-23,19.0,1077.0
GENERIC,69144,2500,2017-01-23,78.0,897.5
GENERIC,213309,5000,2017-01-23,62.0,1975.0
RADIUS,73093,250,2017-01-23,,160.0
RADIUS,70396,375,2017-01-23,2.0,167.03
RADIUS,7.00004e+09,125,2017-01-23,2.0,72.73
RADIUS,73311,125,2017-01-23,9.0,72.73
RADIUS,86368,125,2017-01-23,1.0,72.73
RADIUS,218031,125,2017-01-23,,72.73
BULK,213524,10860,2017-01-30,38.0,4289.7
GENERIC,69064,5000,2017-01-30,58.0,1795.0
GENERIC,213569,5000,2017-01-30,60.0,1975.0
GENERIC,0,3000,2017-01-30,31.0,1185.0
RADIUS,26337,75,2017-01-30,,56.25
RADIUS,7.01454e+09,900,2017-01-30,4.0,675.0
RADIUS,7.0002e+09,125,2017-01-30,4.0,80.0
RADIUS,53005,125,2017-01-30,1.0,80.0
RADIUS,16880,125,2017-01-30,,80.0
BULK,77711,3000,2017-01-30,12.0,1269.9
BULK,77711,3000,2017-01-30,10.0,1269.9
BULK,69149,3000,2017-01-30,19.0,1269.9
BULK,72738,5000,2017-01-30,28.0,2041.5
GENERIC,213707,3000,2017-01-30,20.0,1185.0
GENERIC,0,3000,2017-01-30,41.0,1185.0
GENERIC,25917,3000,2017-01-30,26.0,1185.0
RADIUS,73093,125,2017-01-30,2.0,124.42
RADIUS,70396,375,2017-01-30,1.0,167.03
RADIUS,69144,2000,2017-01-30,2.0,891.0
BULK,75894,3000,2017-02-06,38.0,1269.9
BULK,0,10275,2017-02-06,55.0,3989.78
GENERIC,213309,5000,2017-02-06,35.0,1975.0
BULK,213627,3000,2017-02-06,7.0,1396.8
BULK,43450,5000,2017-02-06,19.0,2245.5
GENERIC,69213,3000,2017-02-06,33.0,1077.0
RADIUS,26337,75,2017-02-06,,56.25
RADIUS,7.01454e+09,300,2017-02-06,2.0,225.0
RADIUS,53005,125,2017-02-06,,80.0
RADIUS,80366,750,2017-02-06,1.0,367.5
RADIUS,69144,2000,2017-02-06,10.0,891.0
